min_cluster_size,min_sample,n_dim,validity_index_score,noise,top_10,top_1,n_clusters,total
50,6,50,0.3189020571858008,38980,20742,3439,210,104253
50,9,50,0.3197398329176717,37678,26411,7390,199,104253
50,5,50,0.3363880269404046,34950,26670,7396,195,104253
50,7,50,0.36548994264341095,34724,28169,7393,197,104253
50,8,50,0.35445466664132363,33925,29922,7396,185,104253
60,6,50,0.2765284410279772,38140,20869,3439,175,104253
60,5,50,0.21891174411918918,35119,26839,7396,163,104253
60,9,50,0.31900460918529655,34827,29340,7390,158,104253
60,7,50,0.27114171830310585,35307,26808,7393,162,104253
60,8,50,0.3622856009078901,35723,27260,7396,162,104253
70,6,50,0.2568863489092893,37653,22895,3887,157,104253
70,5,50,0.21630349532373,34509,27925,7396,147,104253
70,9,50,0.31257351160974933,34443,29002,7390,143,104253
70,7,50,0.27182167281879127,34151,29358,7393,145,104253
70,8,50,0.3089501064385611,33710,30211,7396,142,104253
80,6,50,0.2745844761944374,34457,29219,7391,136,104253
80,5,50,0.21040875331521766,34642,28260,7396,137,104253
80,9,50,0.28728407058302596,33705,30032,7390,132,104253
80,7,50,0.26575825251764257,34169,29852,7393,134,104253
80,8,50,0.3047659138900488,34238,30211,7396,135,104253
90,6,50,0.28222627045276794,34888,29219,7391,128,104253
90,5,50,0.20897264138608215,34691,28260,7396,131,104253
90,9,50,0.29708395077347216,33436,30032,7390,125,104253
90,7,50,0.2588341642269505,34508,29852,7393,128,104253
90,8,50,0.30894301169094635,34546,30211,7396,128,104253
100,6,50,0.2771038790566255,35616,29219,7391,118,104253
100,5,50,0.20655632041791408,36392,27151,7396,121,104253
100,9,50,0.28332001328004675,34532,30032,7390,115,104253
100,7,50,0.25641471500361995,35466,29852,7393,118,104253
100,8,50,0.29125729021687663,35045,30211,7396,116,104253
150,6,50,0.2491923142241021,37218,28512,7391,92,104253
150,5,50,0.1939185867465115,34893,31355,7396,91,104253
150,9,50,0.27654792562982017,35762,30140,7390,90,104253
200,6,50,0.2901362355042884,38193,28474,7391,75,104253
150,8,50,0.2907419873834508,35840,30404,7396,90,104253
150,7,50,0.24381349067869248,34232,32982,7393,87,104253
200,5,50,0.22974655302790906,35506,31355,7396,75,104253
200,9,50,0.3100407639733579,36731,30465,7390,75,104253
250,6,50,0.2670913787912789,38720,29140,7391,65,104253
200,8,50,0.28875422234355475,36936,30967,7396,73,104253
200,7,50,0.29329085739256405,34941,33591,7393,73,104253
250,5,50,0.22750295377777188,36234,32017,7396,66,104253
250,9,50,0.2963889614739562,36113,33082,7390,65,104253
250,8,50,0.2829528026947134,37612,31302,7396,66,104253
300,6,50,0.30005345037775033,34761,37961,8051,53,104253
250,7,50,0.32027938576346165,36400,33591,7393,62,104253
300,5,50,0.23045466127782177,37393,32017,7396,57,104253
300,9,50,0.3141379944932518,37024,33082,7390,58,104253
300,8,50,0.28391066109152396,38868,31302,7396,58,104253
300,7,50,0.33788036607526883,37363,33591,7393,55,104253
350,6,50,0.3074387557203355,34994,38366,8051,50,104253
